Libellé;Indice des prix à la consommation - Base 2015 - Ensemble des ménages - France - Énergie;Codes
idBank;1759967;
Dernière mise à jour;12/04/2024 08:45;
Période;;
1990-01;52.06;A
1990-02;51.83;A
1990-03;51.69;A
1990-04;51.55;A
1990-05;51.49;A
1990-06;51.25;A
1990-07;51.27;A
1990-08;53.7;A
1990-09;56.48;A
1990-10;57.66;A
1990-11;56.01;A
1990-12;54.96;A
1991-01;55.1;A
1991-02;54.81;A
1991-03;53.86;A
1991-04;53.62;A
1991-05;53.9;A
1991-06;54.1;A
1991-07;54.33;A
1991-08;54.72;A
1991-09;54.79;A
1991-10;54.79;A
1991-11;55.09;A
1991-12;54.57;A
1992-01;53.91;A
1992-02;53.95;A
1992-03;53.94;A
1992-04;53.83;A
1992-05;53.9;A
1992-06;53.98;A
1992-07;53.92;A
1992-08;53.68;A
1992-09;53.38;A
1992-10;53.53;A
1992-11;53.65;A
1992-12;53.58;A
1993-01;53.62;A
1993-02;53.86;A
1993-03;54.14;A
1993-04;54.22;A
1993-05;54.25;A
1993-06;54.13;A
1993-07;55.15;A
1993-08;55.64;A
1993-09;55.73;A
1993-10;55.77;A
1993-11;55.81;A
1993-12;55.6;A
1994-01;55.62;A
1994-02;55.73;A
1994-03;55.62;A
1994-04;55.7;A
1994-05;55.76;A
1994-06;55.7;A
1994-07;55.56;A
1994-08;55.84;A
1994-09;55.66;A
1994-10;55.55;A
1994-11;55.6;A
1994-12;55.52;A
1995-01;56.19;A
1995-02;56.56;A
1995-03;56.41;A
1995-04;56.45;A
1995-05;56.61;A
1995-06;56.6;A
1995-07;56.29;A
1995-08;56.98;A
1995-09;57.24;A
1995-10;57.18;A
1995-11;57.21;A
1995-12;57.48;A
1996-01;58.21;A
1996-02;58.6;A
1996-03;58.99;A
1996-04;59.53;A
1996-05;59.61;A
1996-06;59.18;A
1996-07;59.07;A
1996-08;59.07;A
1996-09;59.91;A
1996-10;60.84;A
1996-11;61.08;A
1996-12;61.29;A
1997-01;61.77;A
1997-02;61.71;A
1997-03;61.26;A
1997-04;60.77;A
1997-05;60.49;A
1997-06;60.3;A
1997-07;60.07;A
1997-08;60.8;A
1997-09;60.76;A
1997-10;60.88;A
1997-11;61.29;A
1997-12;61.13;A
1998-01;60.87;A
1998-02;60.7;A
1998-03;60.21;A
1998-04;60.08;A
1998-05;59.31;A
1998-06;58.84;A
