Libellé;Indice des prix à la consommation - Base 2015 - Ensemble des ménages - France - Produits manufacturés;Codes
idBank;1759966;
Dernière mise à jour;12/04/2024 08:45;
Période;;
1990-01;91.96;A
1990-02;92.13;A
1990-03;92.54;A
1990-04;92.74;A
1990-05;92.91;A
1990-06;93.05;A
1990-07;93.26;A
1990-08;93.36;A
1990-09;93.35;A
1990-10;93.49;A
1990-11;93.69;A
1990-12;93.87;A
1991-01;94.32;A
1991-02;94.62;A
1991-03;94.86;A
1991-04;95.05;A
1991-05;95.27;A
1991-06;95.41;A
1991-07;95.64;A
1991-08;95.77;A
1991-09;95.95;A
1991-10;96.21;A
1991-11;96.4;A
1991-12;96.61;A
1992-01;96.51;A
1992-02;97.02;A
1992-03;97.47;A
1992-04;97.31;A
1992-05;97.32;A
1992-06;97.31;A
1992-07;97.28;A
1992-08;97.46;A
1992-09;97.87;A
1992-10;97.96;A
1992-11;97.93;A
1992-12;97.95;A
1993-01;97.83;A
1993-02;98.3;A
1993-03;98.87;A
1993-04;98.92;A
1993-05;98.9;A
1993-06;98.83;A
1993-07;98.41;A
1993-08;98.62;A
1993-09;99.01;A
1993-10;99.13;A
1993-11;99.0;A
1993-12;99.05;A
1994-01;98.62;A
1994-02;98.72;A
1994-03;99.19;A
1994-04;99.28;A
1994-05;99.34;A
1994-06;99.25;A
1994-07;98.9;A
1994-08;99.02;A
1994-09;99.45;A
1994-10;99.49;A
1994-11;99.36;A
1994-12;99.38;A
1995-01;98.85;A
1995-02;99.25;A
1995-03;99.81;A
1995-04;99.78;A
1995-05;99.78;A
1995-06;99.65;A
1995-07;99.3;A
1995-08;99.91;A
1995-09;100.58;A
1995-10;100.74;A
1995-11;100.71;A
1995-12;100.61;A
1996-01;99.89;A
1996-02;100.38;A
1996-03;101.38;A
1996-04;101.35;A
1996-05;101.34;A
1996-06;101.3;A
1996-07;100.53;A
1996-08;100.75;A
1996-09;101.18;A
1996-10;101.58;A
1996-11;100.98;A
1996-12;100.99;A
1997-01;99.94;A
1997-02;100.84;A
1997-03;101.39;A
1997-04;101.33;A
1997-05;101.19;A
1997-06;101.02;A
1997-07;100.03;A
1997-08;100.58;A
1997-09;101.06;A
1997-10;101.07;A
1997-11;101.02;A
1997-12;101.13;A
1998-01;99.72;A
1998-02;100.66;A
1998-03;101.22;A
1998-04;101.27;A
1998-05;101.19;A
1998-06;101.12;A
1998-07;99.89;A
1998-08;100.48;A
1998-09;101.04;A
1998-10;100.93;A
1998-11;100.79;A
1998-12;100.84;A
1999-01;99.41;A
1999-02;100.17;A
1999-03;100.8;A
1999-04;100.74;A
1999-05;100.73;A
1999-06;100.76;A
1999-07;99.38;A
1999-08;100.01;A
1999-09;100.47;A
1999-10;100.55;A
1999-11;100.44;A
1999-12;100.44;A
2000-01;99.85;A
2000-02;99.49;A
2000-03;100.56;A
2000-04;100.43;A
2000-05;100.47;A
2000-06;100.54;A
2000-07;99.21;A
2000-08;99.99;A
2000-09;100.64;A
2000-10;100.81;A
2000-11;100.77;A
2000-12;100.86;A
2001-01;99.93;A
2001-02;100.1;A
2001-03;101.06;A
2001-04;101.21;A
2001-05;101.37;A
2001-06;101.35;A
