freq,unit,coicop,geo\TIME_PERIOD	2019-01 	2019-02 	2019-03 	2019-04 	2019-05 	2019-06 	2019-07 	2019-08 	2019-09 	2019-10 	2019-11 	2019-12 	2020-01 	2020-02 	2020-03 	2020-04 	2020-05 	2020-06 	2020-07 	2020-08 	2020-09 	2020-10 	2020-11 	2020-12 	2021-01 	2021-02 	2021-03 	2021-04 	2021-05 	2021-06 	2021-07 	2021-08 	2021-09 	2021-10 	2021-11 	2021-12 	2022-01 	2022-02 	2022-03 	2022-04 	2022-05 	2022-06 	2022-07 	2022-08 	2022-09 	2022-10 	2022-11 	2022-12 	2023-01 	2023-02 	2023-03 	2023-04 	2023-05 	2023-06 	2023-07 	2023-08 	2023-09 	2023-10 	2023-11 	2023-12 	2024-01 	2024-02 	2024-03 
M,I15,CP00,AL	109.36 d	110.25 d	109.75 d	109.47 d	107.98 d	107.76 d	107.28 d	107.61 d	107.84 d	107.59 d	107.35 d	108.42 d	111.11 d	111.77 d	112.63 d	112.00 d	110.98 d	110.17 d	109.59 d	109.83 d	110.34 d	110.68 d	109.68 d	110.06 d	111.73 d	113.28 d	114.19 d	114.34 d	113.57 d	112.48 d	112.51 d	112.74 d	113.26 d	113.43 d	113.33 d	114.27 d	116.03 d	117.84 d	120.67 d	121.37 d	120.38 d	119.93 d	120.61 d	121.46 d	122.21 d	122.55 d	122.39 d	122.89 d	124.26 d	125.90 d	127.25 d	127.44 d	127.14 d	126.88 d	126.65 d	127.14 d	128.19 d	128.36 d	127.89 d	128.42 d	128.98 d	129.39 d	: 
M,I15,CP00,AT	105.62 	105.61 	106.81 	107.12 	107.18 	107.11 	106.26 	106.34 	107.42 	107.72 	107.92 	108.69 	107.91 	107.92 	108.50 	108.75 	107.81 	108.25 	108.14 	107.82 	108.67 	108.93 	109.13 	109.79 	109.05 	109.40 	110.69 	110.83 	111.04 	111.28 	111.18 	111.23 	112.23 	113.03 	113.62 	113.95 	113.93 	115.40 	118.00 	118.75 	119.60 	120.99 	121.67 	121.52 	124.58 	126.09 	126.31 	125.96 	127.11 	128.15 	128.88 	129.88 	130.06 	130.42 	130.17 	130.59 	131.75 	132.24 	132.46 	133.08 	132.60 	133.47 	134.26 e
M,I15,CP00,BE	105.69 	107.62 	107.86 	108.11 	108.16 	108.09 	107.21 	108.34 	107.70 	108.01 	108.02 	108.38 	107.17 	108.74 	108.32 	108.10 	107.92 	108.33 	109.05 	107.38 	108.21 	108.47 	108.27 	108.76 	107.82 	109.08 	110.07 	110.32 	110.62 	111.11 	110.58 	112.41 	112.35 	114.33 	115.95 	115.93 	116.99 	119.49 	120.28 	120.61 	121.61 	122.82 	122.03 	124.24 	125.90 	129.30 	128.07 	127.77 	125.66 	125.99 	126.23 	124.65 	124.91 	124.79 	124.05 	127.20 	126.73 	127.15 	127.05 	128.45 	127.51 	130.54 	131.01 e
M,I15,CP00,BG	103.43 	103.73 	103.95 	104.60 	104.76 	104.73 	106.13 	106.33 	105.07 	105.23 	105.56 	106.41 	106.94 	106.95 	106.46 	106.01 	105.76 	105.69 	106.58 	107.01 	105.70 	105.87 	105.89 	106.43 	106.59 	107.16 	107.33 	108.08 	108.23 	108.20 	108.97 	109.73 	109.92 	111.35 	112.54 	113.44 	114.80 	116.16 	118.59 	121.12 	122.74 	124.16 	125.18 	126.20 	127.10 	127.87 	128.68 	129.69 	131.20 	132.12 	132.90 	133.63 	133.30 	133.45 	134.99 	135.61 	135.18 	135.44 	135.77 	136.16 	136.29 	136.72 	: 
M,I15,CP00,CH	100.63 	100.92 	101.23 	101.85 	101.63 	101.82 	101.87 	101.94 	101.56 	101.37 	100.92 	101.17 	100.80 	100.70 	100.78 	100.87 	100.65 	100.53 	100.63 	100.54 	100.44 	100.45 	100.09 	100.19 	100.24 	100.32 	100.53 	100.79 	100.99 	101.00 	101.12 	101.33 	101.29 	101.71 	101.57 	101.53 	101.69 	102.25 	102.73 	103.15 	103.72 	104.27 	104.42 	104.72 	104.53 	104.62 	104.49 	104.30 	104.99 	105.54 	105.53 	105.80 	106.03 	106.10 	106.58 	106.75 	106.57 	106.72 	106.17 	106.44 	106.57 	106.80 	: 
M,I15,CP00,CY	98.53 	98.36 	99.49 	100.74 	101.03 	102.26 	101.81 	103.49 	101.65 	101.27 	100.73 	100.03 	99.22 	99.37 	99.59 	99.52 	99.62 	99.97 	99.73 	100.50 	99.70 	99.87 	99.67 	99.24 	98.41 	98.50 	99.89 	100.70 	101.15 	102.17 	102.40 	103.86 	103.31 	104.24 	104.37 	104.04 	103.33 	104.22 	106.13 	109.38 	110.06 	111.34 	113.22 	113.80 	112.63 	113.24 	112.81 	111.93 	110.33 	111.23 	112.64 	113.67 	114.07 	114.41 	115.97 	117.28 	117.48 	117.32 	115.51 	114.09 	112.67 	113.60 	114.45 e
M,I15,CP00,CZ	106.5 	106.8 	107.0 	107.1 	107.8 	108.0 	108.4 	108.5 	108.0 	108.5 	108.6 	108.8 	110.5 	110.8 	110.8 	110.6 	111.1 	111.7 	112.3 	112.3 	111.6 	111.7 	111.6 	111.4 	112.9 	113.1 	113.3 	114.0 	114.1 	114.5 	115.3 	115.8 	116.1 	117.1 	117.0 	117.4 	122.8 	124.4 	126.8 	129.1 	131.5 	133.5 	135.2 	135.6 	136.8 	135.3 	137.1 	137.1 	146.2 	147.3 	147.7 	147.5 	147.9 	148.4 	149.0 	149.3 	148.1 	148.1 	148.1 	147.5 	150.1 	150.6 	: 
M,I15,CP00,DE	103.4 	103.9 	104.4 	105.4 	105.7 	106.0 	106.4 	106.3 	106.2 	106.3 	105.4 	106.0 	105.1 	105.7 	105.8 	106.2 	106.2 	106.9 	106.4 	106.2 	105.8 	105.8 	104.7 	105.3 	106.8 	107.4 	107.9 	108.4 	108.7 	109.1 	109.7 	109.8 	110.1 	110.7 	111.0 	111.3 	112.3 	113.3 	116.1 	116.9 	118.2 	118.1 	119.0 	119.5 	122.1 	123.5 	123.5 	122.0 	122.6 	123.8 	125.1 	125.8 	125.6 	126.1 	126.7 	127.2 	127.4 	127.2 	126.3 	126.6 	126.4 	127.2 	: 
M,I15,CP00,DK	101.8 	102.3 	102.4 	102.7 	102.7 	102.4 	103.1 	102.7 	102.4 	102.9 	102.6 	102.4 	102.6 	103.0 	102.7 	102.6 	102.5 	102.6 	103.5 	103.1 	102.9 	103.2 	103.0 	102.8 	103.0 	103.5 	103.6 	104.1 	104.4 	104.5 	105.3 	105.0 	105.4 	106.5 	106.9 	106.3 	108.0 	109.0 	109.8 	111.8 	113.0 	114.0 	115.4 	115.4 	117.1 	118.6 	117.3 	116.5 	117.1 	118.0 	117.8 	118.1 	116.3 	116.7 	119.1 	118.1 	117.8 	118.1 	117.6 	117.0 	118.2 	118.7 	: 
M,I15,CP00,EA	102.97 	103.30 	104.35 	105.10 	105.24 	105.41 	104.91 	105.06 	105.29 	105.44 	105.10 	105.43 	104.37 	104.56 	105.13 	105.43 	105.33 	105.69 	105.32 	104.88 	104.96 	105.15 	104.80 	105.15 	105.32 	105.54 	106.53 	107.14 	107.42 	107.70 	107.60 	107.98 	108.49 	109.41 	109.90 	110.37 	110.70 	111.74 	114.46 	115.11 	116.07 	117.01 	117.14 	117.85 	119.26 	121.03 	120.95 	120.52 	120.27 	121.24 	122.34 	123.12 	123.15 	123.47 	123.36 	124.03 	124.43 	124.54 	123.85 	124.05 	123.60 	124.38 	125.33 e
